latitude,longitude,label
-34.612400000000001,-58.481099999999998,1
-34.627603649999998,-58.483866550000002,2
-34.615871400000003,-58.484489500000002,1
-34.632085799999999,-58.480991400000001,1
-34.615124199999997,-58.487056299999999,1
-34.615756349999998,-58.502140150000002,4
-34.622594800000002,-58.496210099999999,2
-34.606448899999997,-58.493184800000002,1
-34.615755800000002,-58.474455200000001,1
-34.624744200000002,-58.487462800000003,1
-34.6009381,-58.494760999999997,1
-34.615036000000003,-58.491699199999999,1
