latitude,longitude,label
-34.603301899999998,-58.381056400000006,3
-34.604035799999998,-58.373949699999997,1
-34.605277800000003,-58.375833299999996,1
-34.602111800000003,-58.3851437,1
-34.600225199999997,-58.379646600000001,1
-34.600127499999999,-58.379479400000001,1
-34.604583499999997,-58.374937000000003,1
-34.601055100000004,-58.375347099999999,1
-34.6072998,-58.381412500000003,1
-34.605700499999998,-58.377966600000001,1
-34.612499999999997,-58.383333299999997,1
-34.600000000000001,-58.383333,1
