latitude,longitude,label
-34.612499999999997,-58.383333299999997,1
-34.601055100000004,-58.375347099999999,1
-34.6072998,-58.381412500000003,1
-34.605700499999998,-58.377966600000001,1
-34.602111800000003,-58.3851437,1
-34.604309649999998,-58.37444335,2
-34.603698899999998,-58.381589450000007,2
-34.600176349999998,-58.379563000000005,2
-34.609287099999996,-58.373188833333337,3
-34.600000000000001,-58.383333,1
-34.602507899999999,-58.379990300000003,1
-34.605277800000003,-58.375833299999996,1
