latitude,longitude,label
49.398699162011177,-122.60921525139665,145
58.45825029411764,-134.04826970588235,34
45.846319224806194,-122.53394558139534,163
37.751288186813163,-122.17540483516481,182
36.38831186274512,-119.46286794117648,102
-2.4439299999999999,-165.59500800000001,5
-17.944362105263156,-163.82606210526316,19
33.651037133333318,-116.91220593333334,150
41.93620442307693,-123.06024980769233,53
34.100011545454549,-118.22409622727281,220
38.928535789473685,-120.90085789473677,152
62.111184871794862,-153.79571179487181,38
21.706038965517234,-159.98124586206896,29
43.034911333333334,-118.58451599999999,30
32.47382727272727,-115.38386818181817,22
