latitude,longitude,label
51.497480000000003,-0.13725999999999999,1
51.521639999999998,-0.12132999999999999,1
51.526000000000003,-0.13600000000000001,1
51.553170000000001,-0.12257,1
51.509830000000001,-0.092365000000000003,2
51.513860000000001,-0.098299999999999998,1
51.50853,-0.12573999999999999,1
51.514240000000001,-0.12471,1
51.488970000000002,-0.13699,1
51.509483333333328,-0.055186666666666662,3
51.488120000000002,-0.058279999999999998,1
51.551099999999998,-0.11070000000000001,1
51.529049999999998,-0.11923,1
