latitude,longitude,label
44.519159999999999,-88.019829999999999,1
44.198279999999997,-89.216170000000005,1
44.336469999999998,-88.636179999999996,1
44.505965000000003,-88.053854999999999,2
43.841650000000001,-88.852059999999994,1
44.512535,-88.491870000000006,2
44.613590000000002,-88.731210000000004,1
44.020266666666664,-88.573776666666674,3
44.933869999999999,-88.739549999999994,1
44.095550000000003,-87.706755000000001,2
44.253599999999999,-88.308243333333337,3
43.762065,-88.468350000000001,2
