latitude,longitude,label
-28.360434999999999,151.526275,4
-28.063561428571429,153.42834571428574,7
-27.458926666666667,153.37095666666667,3
-21.209555000000002,166.380675,2
-26.776240000000001,149.56538499999999,2
-30.457992500000003,151.66516000000001,4
-26.995120000000004,151.69750285714287,7
-29.847934285714285,152.90474999999998,7
-31.504370000000002,159.06572,2
-29.771223333333335,151.78416666666666,3
-26.634268333333335,153.02880999999999,6
-25.887777499999999,152.65406250000001,4
-27.494811428571431,153.00249571428571,7
-29.25,152.49167,2
-28.566125555555555,153.26974555555557,9
