latitude,longitude,label
-35.5,-60.625,2
-37.460910000000005,-58.188790000000004,3
-34.652155,-63.32226,2
-31.911180000000002,-61.648920000000004,2
-34.662680000000002,-54.164520000000003,1
-33.178564999999999,-60.828294999999997,2
-36.083329999999997,-59.083329999999997,1
-32.558329999999998,-54.316665,2
-34.430660000000003,-59.656939999999999,1
-34.627724999999998,-58.862360000000002,4
-34.035653333333329,-56.162846666666667,3
-34.92145,-57.954529999999998,1
-32.038019999999996,-58.53445,3
-34.587890000000002,-58.503012857142856,7
