latitude,longitude,label
37.661460000000005,-75.78931,2
37.481964285714284,-77.441860000000005,7
36.998553888888893,-76.409304444444444,18
37.458472499999999,-76.46722874999999,8
37.253416153846153,-76.68609153846154,13
37.729754999999997,-77.107609999999994,8
37.663194000000004,-77.511714000000012,5
38.287256666666664,-75.546805000000006,6
38.2721825,-76.406454999999994,4
36.846153333333334,-77.206509999999994,3
35.652887999999997,-75.708028000000013,5
36.145388000000004,-76.534614000000005,5
36.806365333333332,-76.18968266666667,15
37.252963333333327,-77.306196666666665,3
37.848545000000001,-77.754770000000008,2
