latitude,longitude,label
-34.709976949999998,-58.294785849999997,2
-34.697080649999997,-58.3192959,2
-34.811285325,-58.261723450000005,4
-34.695385000000002,-58.332099900000003,1
-34.821913433333329,-58.213864666666666,3
-34.746026366666662,-58.367344566666667,3
-34.740800750000005,-58.286961249999997,2
-34.753754899999997,-58.2603954,1
-34.738420859999998,-58.241927380000007,5
-34.777511099999998,-58.195470079999993,5
-34.791088124999995,-58.333541875000002,4
-34.723865500000002,-58.314418799999999,1
-34.7108688,-58.280082700000001,1
-34.728054,-58.353454599999999,1
-34.8837665,-58.1784125,1
