latitude,longitude,label
-34.457437133333336,-58.659677466666665,6
-34.317303733333333,-58.802635633333331,3
-34.547294100000002,-58.7931952,2
-34.515373199999999,-58.732479099999999,1
-34.409174366666669,-58.722096016666661,6
-34.487404824999999,-58.75675485,4
-34.338738575000001,-58.771101199999997,4
-34.457431049999997,-58.812167149999993,2
-34.497219100000002,-58.8636093,1
-34.5177865,-58.774697949999997,2
-34.442645749999997,-58.768343524999999,4
-34.547497250000006,-58.70786785,2
-34.482559533333337,-58.709359600000006,3
-34.487594100000003,-58.793968899999996,2
-34.504220750000002,-58.685447749999994,2
