latitude,longitude,label
-34.790417999999995,-58.400943766666664,3
-34.787109399999999,-58.351947799999998,1
-34.758134349999999,-58.49309925,2
-34.746026366666662,-58.367344566666667,3
-34.811047780000003,-58.42487568,5
-34.882093299999994,-58.627848099999994,2
-34.856607114285715,-58.50764101428571,7
-34.828387450000001,-58.38994065,2
-34.873217449999999,-58.387198150000003,2
-34.9753793,-58.3807288,1
-34.760909949999999,-58.391922074999997,4
-34.807096039999998,-58.464286879999996,5
-34.7212143,-58.398510000000002,1
-34.76430775,-58.433576250000002,2
