latitude,longitude,label
-34.529214100000004,-58.722168400000001,2
-34.497307971428569,-58.766383014285701,7
-34.283828700000001,-58.791519200000003,1
-34.334041249999999,-58.808193849999995,2
-34.464695599999999,-58.808002100000003,3
-34.443031433333331,-58.6812842,3
-34.4808053,-58.701517500000001,2
-34.442645749999997,-58.768343524999999,4
-34.504220750000002,-58.685447749999994,2
-34.32891863333333,-58.775083166666661,3
-34.368198399999997,-58.759155300000003,1
-34.486068000000003,-58.725043800000002,1
-34.456568700000005,-58.867558299999999,2
-34.407974939999995,-58.729164279999999,5
