latitude,longitude,label
-32.884099999999997,-68.821060000000003,1
-32.890183,-68.844049799999993,1
-32.959936733333336,-68.720767766666654,3
-32.911242600000001,-68.829762299999999,1
-32.880105200000003,-68.894346100000007,1
-32.876533100000003,-68.691650100000004,1
-32.864159999999998,-68.822149999999993,1
-32.906334600000001,-68.766004899999999,1
-32.871723299999999,-68.867715599999997,1
-32.849121099999998,-68.8156204,1
-32.9177818,-68.832092299999999,1
-32.846850000000003,-68.790360000000007,1
-32.892719999999997,-68.810640000000006,1
