latitude,longitude,label
-34.676464614285713,-58.340818028571427,7
-34.603773049999994,-58.379539385714281,14
-34.585479142857146,-58.421854057142859,7
-34.61089130909091,-58.395951290909082,11
-34.691755274999991,-58.381059624999999,4
-34.605081887499992,-58.413897612500001,8
-34.638254466666666,-58.371125466666662,9
-34.630384390909093,-58.402128336363624,11
-34.56869828,-58.409973189999995,10
-34.612249722222224,-58.369035944444448,9
-34.610721785714283,-58.441171771428571,7
-34.689417949999999,-58.412756575000003,4
-34.594222680000001,-58.373016759999999,10
-34.591134924999999,-58.391615625,8
-34.642147066666666,-58.426276855555557,9
