latitude,longitude,label
-34.420918450000002,-58.883828949999995,2
-34.602088899999998,-58.952129399999997,1
-34.490500500000003,-59.074736899999998,1
-34.446617099999997,-58.883075699999999,1
-34.292659800000003,-59.101039900000004,1
-34.327635066666666,-58.987822833333333,3
-34.566778150000005,-59.112644150000001,2
-34.098808300000002,-59.032291399999998,1
-34.452721624999995,-58.916981,4
-34.474552199999998,-58.912933299999999,1
-34.167480500000003,-58.952640500000001,1
-34.11039735,-59.01919745,2
-34.4379694,-58.988002700000003,1
-34.595477000000002,-59.150105600000003,1
